frame_idx,time_sec,active_side,left_elbow_angle,left_rep_count,left_good_form,left_rom_ok,left_torso_stable,left_elbow_near_torso,left_wrist_ok,left_messages,right_elbow_angle,right_rep_count,right_good_form,right_rom_ok,right_torso_stable,right_elbow_near_torso,right_wrist_ok,right_messages
0,0.0,left,1.173198376898466,0,True,True,True,True,True,Static hold – posture looks solid.,47.22296777634084,0,True,True,True,True,True,Static hold – posture looks solid.
1,0.03333333333333333,left,1.1510987280103915,0,True,True,True,True,True,Static hold – posture looks solid.,47.16562356792001,0,True,True,True,True,True,Static hold – posture looks solid.
2,0.06666666666666667,left,1.8394231443241307,0,True,True,True,True,True,Static hold – posture looks solid.,47.10879032936892,0,True,True,True,True,True,Static hold – posture looks solid.
3,0.1,left,2.8406815388683784,0,True,True,True,True,True,Static hold – posture looks solid.,46.32531848015859,0,True,True,True,True,True,Static hold – posture looks solid.
4,0.13333333333333333,left,4.0340224524889905,0,True,True,True,True,True,Static hold – posture looks solid.,45.54155707975217,0,True,True,True,True,True,Static hold – posture looks solid.
5,0.16666666666666666,left,4.891955259817075,0,True,True,True,True,True,Static hold – posture looks solid.,44.805049105502654,0,True,True,True,True,True,Static hold – posture looks solid.
6,0.2,left,5.4248768770913545,0,True,True,True,True,True,Static hold – posture looks solid.,44.06353618387539,0,True,True,True,True,True,Static hold – posture looks solid.
7,0.23333333333333334,left,5.791346133715035,0,True,True,True,True,True,Static hold – posture looks solid.,43.31638980368163,0,True,True,True,True,True,Static hold – posture looks solid.
8,0.26666666666666666,left,6.2848042670347875,0,True,True,True,True,True,Static hold – posture looks solid.,42.35586134237557,0,True,True,True,True,True,Static hold – posture looks solid.
9,0.3,left,7.4815123867806115,0,True,True,True,True,True,Static hold – posture looks solid.,40.87685014559591,0,True,True,True,True,True,Static hold – posture looks solid.
10,0.3333333333333333,left,8.801724891155656,0,True,True,True,True,True,Static hold – posture looks solid.,39.245753354524986,0,True,True,True,True,True,Static hold – posture looks solid.
11,0.36666666666666664,left,9.863041202182195,0,True,True,True,True,True,Static hold – posture looks solid.,37.49834200991488,0,True,True,True,True,True,Static hold – posture looks solid.
12,0.4,left,10.768249299221845,0,True,True,True,True,True,Static hold – posture looks solid.,36.04906195872365,0,True,True,True,True,True,Static hold – posture looks solid.
13,0.43333333333333335,left,11.283961214881113,0,True,True,True,True,True,Static hold – posture looks solid.,34.743038644936036,0,True,True,True,True,True,Static hold – posture looks solid.
14,0.4666666666666667,left,11.866901519922319,0,True,True,True,True,True,Static hold – posture looks solid.,33.64779349801024,0,True,True,True,True,True,Static hold – posture looks solid.
15,0.5,left,12.578204203108033,0,True,True,True,True,True,Static hold – posture looks solid.,32.694773373680306,0,True,True,True,True,True,Static hold – posture looks solid.
16,0.5333333333333333,left,13.4746727015442,0,True,True,True,True,True,Static hold – posture looks solid.,31.974263645999017,0,True,True,True,True,True,Static hold – posture looks solid.
17,0.5666666666666667,left,14.149339833106445,0,True,True,True,True,True,Static hold – posture looks solid.,31.785646260533593,0,True,True,True,True,True,Static hold – posture looks solid.
18,0.6,left,14.671268221986805,0,True,True,True,True,True,Static hold – posture looks solid.,31.83322986630613,0,True,True,True,True,True,Static hold – posture looks solid.
19,0.6333333333333333,left,15.093278160822527,0,True,True,True,True,True,Static hold – posture looks solid.,32.19794922167985,0,True,True,True,True,True,Static hold – posture looks solid.
20,0.6666666666666666,left,15.474001010847624,0,True,True,True,True,True,Static hold – posture looks solid.,32.88767847486576,0,True,True,True,True,True,Static hold – posture looks solid.
21,0.7,left,15.591731473577646,0,True,True,True,True,True,Static hold – posture looks solid.,33.62952863580651,0,True,True,True,True,True,Static hold – posture looks solid.
22,0.7333333333333333,left,15.576374732058452,0,True,True,True,True,True,Static hold – posture looks solid.,34.701612630428,0,True,True,True,True,True,Static hold – posture looks solid.
23,0.7666666666666667,left,15.364982408599921,0,True,True,True,True,True,Static hold – posture looks solid.,36.06660086662255,0,True,True,True,True,True,Static hold – posture looks solid.
24,0.8,left,15.001496340012302,0,True,True,True,True,True,Static hold – posture looks solid.,37.69524247251758,0,True,True,True,True,True,Static hold – posture looks solid.
25,0.8333333333333334,left,14.426362543566057,0,True,True,True,True,True,Static hold – posture looks solid.,39.44824860604242,0,True,True,True,True,True,Static hold – posture looks solid.
26,0.8666666666666667,left,13.756334117075468,0,True,True,True,True,True,Static hold – posture looks solid.,41.321560919306734,0,True,True,True,True,True,Static hold – posture looks solid.
